mittente,destinatario,n_telefonate
0,1,64
1,0,128
1,2,150
1,3,170
1,5,164
1,6,2
1,7,6
1,8,2108
1,9,10
1,10,2
1,11,288
1,13,2
1,14,2
1,15,18
1,16,30
1,17,30
1,18,20
1,19,18
1,20,84
1,21,8
1,22,30
1,23,12
1,24,242
1,25,2
1,26,8
1,27,30
1,28,120
1,29,8
1,30,10
1,31,40
1,32,8
1,34,10
1,35,2
1,36,100
1,37,8
1,38,26
1,39,20
1,40,40
1,41,36
1,42,10
1,44,20
1,45,2
1,46,2
1,47,10
1,48,10
1,49,2
1,50,40
1,51,20
1,52,2
1,54,2328
1,55,20
1,56,10
1,57,10
1,58,20
1,59,10
1,60,44
1,61,20
1,62,2
1,63,10
1,64,2
1,65,10
1,95,8
1,1856,6
1,1896,6
1,1898,24
1,1956,330
1,2011,40
1,2021,12
1,2026,304
1,4839,101
1,4844,52
1,4845,2
1,4846,2
1,4847,2
1,4848,10
1,4849,16
1,4852,2
1,4853,22
1,4854,10
1,4857,30
1,4858,20
1,7881,10
1,7960,16
1,7996,6
1,8089,12
1,8096,36
1,8119,18
1,8126,6
1,8131,6
1,8148,473
1,8165,30
1,8539,6
1,9491,6
1,33386,22
1,34474,6
1,35556,30
1,37675,188
1,37676,26
1,37677,24
1,37680,8
1,37682,10
1,37683,8
1,37687,110
1,37688,16
1,37689,20
1,37690,6
1,37691,6
1,37692,20
1,37693,48
1,37694,8
1,37695,6
1,37696,12
1,37697,10
1,37700,8
1,37701,20
1,37702,66
1,37703,6
1,37704,10
1,37705,6
1,37707,18
1,37708,96
1,37709,40
1,37711,8
1,37712,6
1,37713,4
1,37714,10
1,37715,12
1,37716,20
1,37718,6
1,37720,6
1,37721,30
1,37724,6
1,37725,18
1,37726,30
1,37727,24
1,37728,10
1,37729,10
1,37730,18
1,37733,80
1,37734,6
1,37735,8
1,37737,40
1,37738,10
1,37740,8
1,37742,8
1,37743,6
1,37744,220
1,37745,12
1,37746,12
1,37748,6
1,37750,6
1,37751,6
1,37752,32
1,37753,22
1,37755,50
1,37756,20
1,37757,11
1,37758,10
1,37760,4
1,37761,4
1,37762,16
1,43302,10
1,43952,2
1,44686,6
1,44687,6
1,44688,10
1,44689,20
1,44691,26
1,44693,60
1,44694,6
1,45795,2
2,1,106
4,1,12
5,1,40
5,7656,7
7,1,16
7,34458,8
8,1,752
9,1,16
11,1,56
11,11,6
11,25,4
11,26,10
11,117,8
11,119,30
11,1853,2
11,1856,2
11,1950,14
11,2001,4
11,4767,22
11,7637,2366
11,7638,1414
11,7639,386
11,7640,126
11,7641,272
11,7644,32
11,7646,202
11,7648,412
11,7649,62
11,7650,190
11,7654,966
11,7655,216
11,7656,690
11,7657,13
11,7659,2
11,7660,4
11,7661,10
11,7662,6
11,7663,12
11,7664,92
11,7667,54
11,7750,2356
11,7751,118
11,7752,68
11,7753,2241
11,7754,704
11,7755,37
11,7756,2
11,7757,148
11,7758,370
11,7759,40
11,7760,24
11,7761,2
11,7762,6
11,7763,58
11,7764,346
11,7766,40
11,7768,12
11,7769,60
11,7772,3
11,7774,284
11,7777,120
11,7783,16
11,7784,4
11,7786,1339
11,7787,22
11,7789,4
11,7790,2
11,7791,40
11,7795,36
11,7796,58
11,7798,38
11,7800,8
11,7801,4
11,7802,156
11,7803,4
11,7805,110
11,7806,54
11,7807,80
11,7808,55
11,7810,34
11,7811,66
11,7812,2
11,7813,4
11,7814,4
11,7815,44
11,7816,12
11,7817,20
11,7818,2
11,7819,2
11,7820,2
11,7821,4
11,7822,16
11,7826,8
11,7827,12
11,7828,6
11,7833,10
11,7834,6
11,7835,8
11,7845,6
11,7855,6
11,7860,8
11,7861,28
11,7868,2
11,7872,6
11,7873,4
11,7876,8
11,7877,12
11,7881,152
11,7882,4
11,7883,20
11,7884,10
11,7889,8
11,7891,6
11,7892,2
11,7893,29
11,7899,14
11,7900,4
11,7901,4
11,7902,4
11,7904,4
11,7905,4
11,7907,2
11,7908,8
11,7909,4
11,7910,2
11,7911,2
11,7913,8
11,7914,4
11,7915,8
11,7916,2
11,7917,8
11,7918,2
11,7919,10
11,7920,2
11,7922,536
11,7923,8
11,7924,20
11,7926,650
11,7927,8
11,7928,46
11,7929,4
11,7930,38
11,7931,2
11,7933,4
11,7935,32
11,7937,4
11,7938,8
11,7939,2
11,7941,2
11,7943,2
11,7944,2
11,7945,2
11,7946,2
11,7948,8
11,7949,8
11,7950,28
11,8069,2
11,8090,102
11,8165,6
11,8171,32
11,8406,4
11,8499,2
11,33409,48
11,33412,24
11,33413,6
11,33415,4
11,33417,248
11,33418,28
11,33419,62
11,33420,2
11,33421,10
11,33423,4
11,33425,152
11,33427,15
11,33428,7
11,33430,18
11,33431,6
11,33432,28
11,33435,434
11,33436,10
11,33437,2
11,33439,6
11,33440,14
11,33446,36
11,33448,12
11,33451,10
11,33453,6
11,33455,20
11,33456,4
11,33457,2
11,33458,4
11,33459,12
11,33462,26
11,33463,12
11,33465,2
11,33468,2
11,33469,2
11,33470,4
11,33472,4
11,33476,4
11,33477,3
11,33479,8
11,33483,4
11,33484,6
11,33485,22
11,33486,12
11,33490,6
11,33492,3
11,33497,6
11,33499,3
11,33501,6
11,33502,6
11,33503,6
11,33507,2
11,33508,4
11,33509,6
11,33510,2
11,33512,2
11,33513,10
11,33514,12
11,33515,3
11,33516,6
11,33517,2
11,33518,6
11,33519,30
11,33525,12
11,33531,22
11,33533,4
11,33535,20
11,33536,2
11,33542,6
11,33543,92
11,33544,6
11,33546,2
11,33547,4
11,33548,2
11,33557,6
11,33558,2
11,33560,2
11,33561,2
11,33570,9
11,33572,4
11,33574,2
11,33575,2
11,33576,2
11,33578,2
11,33579,16
11,33581,4
11,33582,4
11,33585,6
11,33586,206
11,33588,2
11,33590,8
11,33592,2
11,33593,8
11,33594,4
11,33595,4
11,33598,8
11,33599,2
11,33600,6
11,33602,4
11,33603,4
11,33605,18
11,33606,4
11,33607,4
11,33621,20
11,33622,338
11,33623,2
11,33624,120
11,33625,2
11,33626,47
11,33627,2
11,33628,2
11,33629,4
11,33630,4
11,33631,2
11,33632,2
11,33633,2
11,33634,2
11,33635,2
11,33636,2
11,33637,2
11,33641,208
11,33642,4
11,33643,2
11,33644,2
11,33645,2
11,33646,2
11,33647,2
11,33651,2
11,33652,6
11,33653,2
11,33654,2
11,33656,2
11,33657,4
11,33658,2
11,33659,2
11,33660,36
11,33663,4
11,33664,4
11,33665,2
11,33666,4
11,33667,2
11,33668,6
11,33669,2
11,33670,20
11,33671,4
11,33672,6
11,33673,4
11,33674,4
11,33675,2
11,33676,2
11,33677,4
11,33678,4
11,33679,4
11,33681,2
11,33682,2
11,33683,2
11,33684,2
11,33686,2
11,33687,2
11,33688,2
11,33689,4
11,33690,2
11,33691,2
11,33692,4
11,33693,2
11,33694,2
11,33695,2
11,33696,2
11,33697,2
11,33698,2
11,33699,2
11,33700,2
11,33701,2
11,33702,3
11,33704,2
11,33705,8
11,33706,4
11,33708,2
11,33709,2
11,33710,2
11,33711,2
11,33717,2
11,33718,2
11,33719,42
11,33720,4
11,33723,4
11,33725,12
11,33736,2
11,43496,20
11,43498,2
11,43499,2
11,43500,2
11,43501,14
11,43502,2
11,45188,5
11,45189,1
11,45190,1
11,45368,1
11,45555,11
11,46395,1
11,46396,4
11,46397,1
11,46398,1
11,46399,1
11,46400,1
11,46401,1
11,46402,9
11,46403,1
11,52295,4
11,52299,2
11,52334,16
11,52341,18
11,52342,14
11,52349,2
11,52350,2
11,52352,28
11,52357,2
11,52358,6
11,52359,4
11,52360,2
11,52363,4
11,52364,2
11,52365,2
11,52367,2
11,52369,2
11,52370,2
11,52371,2
12,1,12
16,1,8
16,7954,4
16,8080,4
16,33384,26
17,1,128
18,1766,20
18,1931,9
18,1959,266
18,1960,135
18,1961,20
18,1962,4
18,1963,2
18,1964,14
18,1965,14
18,1966,40
18,1967,26
18,1968,4
18,1970,8
18,1971,2
18,1972,2
18,1973,26
18,1974,2
18,1975,64
18,1978,6
18,1979,2
18,1980,7
18,1981,2
18,1982,8
18,1984,2
18,1985,2
18,1986,2
18,1987,60
18,1988,2
18,1989,40
18,1990,32
18,1991,2
18,1993,6
18,1994,2
18,1995,4
18,1996,4
18,1997,10
18,1998,10
18,1999,6
18,2001,10
18,2002,12
18,2003,32
18,2005,2
18,2006,20
18,7656,14
18,8096,19
18,8171,12
18,8363,1
18,34493,1
18,34494,1
18,34495,1
18,34496,1
18,34497,1
18,34498,1
18,34499,1
18,34500,2
18,34501,1
18,34502,1
18,34503,3
18,34504,3
18,34505,2
18,34506,32
18,43380,297
18,43493,4
18,43494,4
18,43948,3
18,44884,6
18,44886,19
18,44888,5
18,44889,16
18,44890,56
18,44891,3
18,44893,9
18,44895,21
18,44896,8
18,44897,4
18,44899,3
18,44900,9
18,44901,2
18,44914,2
18,44916,2
18,44918,1
18,44921,3
18,44922,15
18,44923,10
18,44930,6
18,44934,23
18,44935,4
18,44936,20
18,44937,3
18,44938,9
18,44940,26
18,44941,13
18,44945,2
18,44947,1
18,44951,3
18,44952,22
18,44960,24
18,44961,15
18,44962,7
18,44963,2
18,44964,28
18,45016,2
18,45017,11
18,45018,2
18,45019,12
18,45020,8
18,45021,2
18,45022,1
18,45023,2
18,45024,17
18,45025,2
18,45026,2
18,45027,2
18,45028,2
18,45029,2
18,45030,11
18,45031,9
18,45032,3
18,45033,2
18,45034,2
18,45035,3
18,45036,4
18,45037,9
18,45038,6
18,45041,8
18,45043,1
18,45058,15
18,45332,2
18,45341,2
18,45346,4
18,45350,1
18,45351,6
18,45352,1
18,45353,2
18,45354,4
18,45355,1
18,45356,7
18,45357,2
18,45358,1
18,45359,2
18,45360,2
18,45361,2
18,45362,3
18,52537,4
18,52538,2
18,52539,1
18,52540,2
18,52541,3
18,52542,7
18,52543,3
18,52544,8
18,52545,1
18,52546,3
18,52547,2
18,52549,1
18,52550,1
18,52551,2
18,52552,4
18,52553,2
18,52554,3
18,52555,27
18,52556,1
18,52557,1
18,52558,1
18,52559,1
18,52560,1
19,1,16
20,1,24
22,1,8
23,1,30
23,33384,2
24,1,120
24,1935,10
24,7806,204
24,7954,6
24,8042,158
24,34458,226
26,11,6
26,7656,15
27,1935,32
27,2071,2
27,34458,40
28,1,16
31,1,8
33,1,16
36,1,38
39,1,8
43,1,8
48,1,8
50,1,16
53,1,12
53,228,32
54,1,1066
54,66,10
54,7806,839
54,7954,56
54,33384,4
55,33384,38
58,1,8
58,8080,1
59,7806,16
66,54,19
66,67,10
66,1915,3
68,40,8
68,58,4
68,68,10
68,69,2894
68,70,656
68,71,1276
68,72,392
68,73,294
68,74,76
68,114,66
68,115,219
68,117,18
68,119,12
68,120,1
68,2067,12
68,2073,4
68,4750,3576
68,4751,322
68,4752,20
68,4753,54
68,4754,20
68,4755,4
68,4756,24
68,4757,28
68,4758,73
68,4760,6
68,4761,2
68,4762,58
68,4767,16
68,4768,8
68,4769,2
68,4771,108
68,4775,28
68,4776,26
68,4777,2
68,4778,34
68,4785,16
68,4786,60
68,4791,6
68,4792,4
68,4794,2
68,4795,2
68,4798,71
68,4799,24
68,4800,54
68,4802,4
68,4803,12
68,4805,6
68,4806,3
68,4807,6
68,4816,20
68,4819,104
68,4820,4
68,4822,20
68,4826,12
68,4827,21
68,4830,8
68,4831,2
68,4832,6
68,4834,2
68,4835,4
68,4836,3
68,4837,4
68,7861,4
68,8011,4
68,9109,10
68,9310,6
68,9311,260
68,9314,8
68,9315,12
68,9316,12
68,9318,42
68,9319,6
68,9322,12
68,9323,46
68,9326,28
68,9327,4
68,9328,4
68,9330,16
68,9331,16
68,9332,26
68,9333,6
68,9334,64
68,9335,3
68,9336,6
68,9337,14
68,9339,12
68,9341,52
68,9342,6
68,9343,12
68,9344,6
68,9345,6
68,9346,17
68,9348,4
68,9349,66
68,9350,6
68,9351,12
68,9352,6
68,9353,26
68,9354,6
68,9355,6
68,9356,9
68,9357,4
68,9358,16
68,9359,18
68,9360,5
68,9361,10
68,9363,4
68,9365,4
68,9366,12
68,9367,4
68,9369,4
68,9370,4
68,9371,4
68,9372,3
68,9373,4
68,9374,4
68,9376,6
68,9378,10
68,9380,6
68,9381,6
68,9382,4
68,9383,2
68,9387,4
68,9389,26
68,9391,6
68,9393,4
68,9394,8
68,9395,4
68,9402,3
68,9403,4
68,9406,10
68,9411,12
68,9412,2
68,9413,2
68,9414,2
68,9415,2
68,9416,12
68,9417,8
68,9418,4
68,9419,3
68,9422,3
68,9424,4
68,9426,4
68,9427,2
68,9428,2
68,9429,2
68,9430,4
