A,B,X,Y,Z,chiamate,evento,p0,p_cappuccio,significativo,timestamp,z
,,1770,1766,1789.0,4,1A,0.0002937116339178195,5.896574090453446e-05,0.5189251320561503,1465834048,-0.047456077572400834
,,1775,1766,1786.0,4,1A,2.937116339178195e-05,8.844861135680171e-05,0.4538740067565626,1466184715,0.11587953702858453
,,1775,1766,1786.0,2,1A,2.937116339178195e-05,8.844861135680171e-05,0.4538740067565626,1466184716,0.11587953702858453
,,1788,1766,1773.0,4,1A,0.003700766587364525,5.896574090453446e-05,0.8422108240977759,1466201664,-1.0035856964221783
,,1765,1766,1773.0,4,1A,0.00361265309718918,0.0002948287045226723,0.8259996537992963,1467235133,-0.938474350482198
,,1773,1766,1765.0,16,1A,0.002672775868652157,0.00035379444542720683,0.7530547129540901,1467287437,-0.6841339680541672
,,1765,1766,1788.0,8,1A,0.0021440949276000823,0.00011793148180906893,0.7713762093573331,1467405749,-0.7433867212955896
,,1778,1766,1773.0,4,1A,0.003730137750756308,0.00017689722271360342,0.5694058842477737,1468453047,-0.1748617941810936
,,1778,1766,1773.0,4,1A,0.003730137750756308,0.00017689722271360342,0.5694058842477737,1468453048,-0.1748617941810936
,,1778,1766,1773.0,4,1A,0.003730137750756308,0.00017689722271360342,0.5694058842477737,1468453050,-0.1748617941810936
,,1773,1766,1788.0,40,1A,0.0019091256204658265,0.0005896574090453446,0.6773874539984064,1469103507,-0.4604056332459146
,,1789,1766,1788.0,4,1A,0.002202837254383646,0.00017689722271360342,0.5838292677234018,1469309202,-0.21169951749382315
,,1789,1766,1788.0,8,1A,0.002202837254383646,0.00017689722271360342,0.5838292677234018,1469309204,-0.21169951749382315
,,1768,1766,1810.0,8,1A,0.0009986195553205862,0.0005306916681408102,0.5382440383146836,1470145078,-0.09601089022832424
,,1768,1766,1810.0,16,1A,0.0009986195553205862,0.0005306916681408102,0.5382440383146836,1470145080,-0.09601089022832424
,,1822,1766,1838.0,8,1A,5.8742326783563894e-05,0.0002948287045226723,0.455782141109856,1470352226,0.11106565666266316
,,1822,1766,1838.0,12,1A,5.8742326783563894e-05,0.0002948287045226723,0.455782141109856,1470352569,0.11106565666266316
,,1773,1766,1849.0,4,1A,0.0,5.896574090453446e-05,0.0,1470574374,inf
,,1838,1931,1842.0,2,1A,0.0014685581695890973,0.0016805236157792322,0.4685698328168182,1471202491,0.07886542345630186
,,1765,1766,1767.0,4,1A,0.0,0.00011793148180906893,0.0,1472074589,inf
,,1765,1766,1767.0,4,1A,0.0,0.00011793148180906893,0.0,1472074590,inf
,,1838,1931,1791.0,8,1A,0.0035832819337973977,0.00023586296361813785,0.7876149837104136,1472557975,-0.7981731221667739
,,1838,1931,1791.0,8,1A,0.0035832819337973977,0.00023586296361813785,0.7876149837104136,1472557985,-0.7981731221667739
,,1842,1931,1791.0,8,1A,0.0035832819337973977,0.00011793148180906893,0.6706368224649462,1472559207,-0.4416723027423082
,,1931,1931,1838.0,24,1A,0.0039357358944987824,0.00035379444542720683,0.5642724759051708,1472671002,-0.16181054573888154
,,2058,1935,1931.0,12,1A,0.000587423267835639,0.00017689722271360342,0.5165521255113606,1472820629,-0.0415019366314814
,,1862,1766,1765.0,4,1A,0.0028490028490028487,5.896574090453446e-05,0.5208734790775026,1473239521,-0.052345948530945735
,,1773,1766,1765.0,8,1A,0.002672775868652157,0.00035379444542720683,0.7530547129540901,1473937131,-0.6841339680541672
,,1842,1931,1838.0,4,1A,0.003994478221282345,0.00011793148180906893,0.6801278449173787,1473943246,-0.4680563262242018
,,1838,1931,1842.0,4,1A,0.0014685581695890973,0.0016805236157792322,0.4685698328168182,1474456417,0.07886542345630186
,,1838,1931,1842.0,6,1A,0.0014685581695890973,0.0016805236157792322,0.4685698328168182,1474480032,0.07886542345630186
,,1838,1931,1842.0,6,1A,0.0014685581695890973,0.0016805236157792322,0.4685698328168182,1474480033,0.07886542345630186
,,1838,1931,1842.0,12,1A,0.0014685581695890973,0.0016805236157792322,0.4685698328168182,1474480035,0.07886542345630186
,,1838,1931,1842.0,6,1A,0.0014685581695890973,0.0016805236157792322,0.4685698328168182,1474480037,0.07886542345630186
,,1838,1931,1842.0,6,1A,0.0014685581695890973,0.0016805236157792322,0.4685698328168182,1474480038,0.07886542345630186
,,1838,1931,1842.0,6,1A,0.0014685581695890973,0.0016805236157792322,0.4685698328168182,1474480039,0.07886542345630186
,,1838,1931,1842.0,6,1A,0.0014685581695890973,0.0016805236157792322,0.4685698328168182,1474480040,0.07886542345630186
,,1838,1931,1842.0,6,1A,0.0014685581695890973,0.0016805236157792322,0.4685698328168182,1474480042,0.07886542345630186
,,1838,1931,1842.0,6,1A,0.0014685581695890973,0.0016805236157792322,0.4685698328168182,1474480047,0.07886542345630186
