timestamp,X,Y,Z,chiamate,p0,p_cappuccio,z,significativo
0,26,25,26,2,0.0002767387675305,7.381794164497455e-05,-0.0904759321274902,0.5360454905601618
0,41,15,41,2,8.927057017113166e-06,0.0198686817669684,503.7660314058597,0.0
35,13,39,13,2,0.0172738553281139,0.0050856676638564,-2.191868072552855,0.985805482976399
113,11,38,11,2,0.012703202135352,0.0025564318738101,-1.7119121208138417,0.9565435676842178
363,14,38,14,10,0.012542515109044,0.0033723143867283,-1.67253775613554,0.952790835420626
406,15,41,15,8,0.0298342245511922,0.0183068495279536,-2.2897239263594438,0.9889813372449452
524,19,35,19,4,1.7854114034226332e-05,0.0028905551886242,26.80097964749945,0.0
593,12,37,12,4,0.0296110481257643,0.0179999222969035,-2.297474929554292,0.9892041541816284
872,38,14,38,4,0.0001249787982395,0.0040055946229457,15.091781915555412,0.0
983,26,33,26,4,4.463528508556584e-05,0.003193597264851,18.255073367898863,0.0
1293,35,19,35,4,0.0106856872494844,0.0024049108356968,-1.4248687173008123,0.9229024230591324
1408,14,38,14,8,0.012542515109044,0.0033723143867283,-1.67253775613554,0.952790835420626
1649,38,14,38,2,0.0001249787982395,0.0040055946229457,15.091781915555412,0.0
1701,14,38,14,6,0.012542515109044,0.0033723143867283,-1.67253775613554,0.952790835420626
2100,19,35,19,2,1.7854114034226332e-05,0.0028905551886242,26.80097964749945,0.0
2222,35,19,35,2,0.0106856872494844,0.0024049108356968,-1.4248687173008123,0.9229024230591324
2318,26,33,26,4,4.463528508556584e-05,0.003193597264851,18.255073367898863,0.0
2583,33,26,33,2,0.0103643131968683,0.002129064843234,-1.4993679433106653,0.9331108974553144
2760,26,33,26,2,4.463528508556584e-05,0.003193597264851,18.255073367898863,0.0
4066,18,35,18,6,0.0,0.0028866700338008,inf,0.0
4438,20,34,20,2,1.7854114034226332e-05,0.0027079529119235,24.723139879710807,0.0
4475,35,18,35,6,0.0106321249073817,0.001860989160418,-1.4861764204369856,0.9313837686210164
4676,18,35,18,4,0.0,0.0028866700338008,inf,0.0
4940,3,34,3,6,0.0,0.0006138544621003,inf,0.0
5400,35,18,35,4,0.0106321249073817,0.001860989160418,-1.4861764204369856,0.9313837686210164
5549,19,33,19,2,0.0,0.0038035665721278,inf,0.0
5709,34,3,34,4,0.0032226675831778,0.0003962857919888,-0.4730916135029081,0.6819260901068427
5724,18,35,18,2,0.0,0.0028866700338008,inf,0.0
6092,3,34,3,4,0.0,0.0006138544621003,inf,0.0
6187,35,18,35,2,0.0106321249073817,0.001860989160418,-1.4861764204369856,0.9313837686210164
6572,34,3,34,2,0.0032226675831778,0.0003962857919888,-0.4730916135029081,0.6819260901068427
7456,3,34,3,2,0.0,0.0006138544621003,inf,0.0
8460,38,11,38,6,8.927057017113168e-05,0.0031897121100275,14.13004819890399,0.0
8676,11,38,11,4,0.012703202135352,0.0025564318738101,-1.7119121208138417,0.9565435676842178
8796,19,33,19,2,0.0,0.0038035665721278,inf,0.0
9235,19,33,19,2,0.0,0.0038035665721278,inf,0.0
9374,33,19,33,2,0.0113462894687508,0.002777885698745,-1.5728843584904744,0.9421272012319724
9496,38,11,38,4,8.927057017113168e-05,0.0031897121100275,14.13004819890399,0.0
9942,11,38,11,2,0.012703202135352,0.0025564318738101,-1.7119121208138417,0.9565435676842178
10738,38,11,38,2,8.927057017113168e-05,0.0031897121100275,14.13004819890399,0.0
