timestamp,X,Y,A,Z,chiamate,p0,p_cappuccio,z,significativo
0,18,37,42,37,3,0.0030160643927869,4.4736123972746765e-06,-0.054920132192553,0.5218989535435714
0,18,37,44,37,3,0.0065128962105761,4.4736123972746765e-06,-0.0809109962575196,0.5322436325544562
0,18,37,47,37,3,0.0030648923343887,4.4736123972746765e-06,-0.0553655723054031,0.5220763884651205
0,23,37,42,37,3,0.0030160643927869,4.4736123972746765e-06,-0.054920132192553,0.5218989535435714
0,23,37,44,37,3,0.0065128962105761,4.4736123972746765e-06,-0.0809109962575196,0.5322436325544562
0,23,37,47,37,3,0.0030648923343887,4.4736123972746765e-06,-0.0553655723054031,0.5220763884651205
0,28,37,42,37,3,0.001893021735946,0.0005368334876729,-0.7310377477706371,0.7676219517011559
0,28,37,44,37,3,0.003940039287713,0.0009752475026058,-1.1088871562273843,0.8662605673826854
0,28,37,47,37,3,0.0017991218482502,0.000635252960413,-0.6435035817809467,0.7400513043075754
0,32,37,42,37,3,0.0018216578212972,0.0004742029141111,-0.7707885427503381,0.7795838602886604
0,32,37,44,37,3,0.0036170236740396,0.0010155100141813,-1.0570505789449391,0.8547557477418237
0,32,37,47,37,3,0.0015850301043039,0.0007560404951394,-0.508315403401698,0.6943839153113357
35,13,39,45,39,3,0.0020958454933687,0.0005726223868511,-0.7804150651504679,0.7824266984003527
35,13,39,47,39,3,0.0025841249093866,0.000684462696783,-0.8767336324272008,0.8096843327348859
593,12,37,42,37,3,0.0014798622300847,0.0012078753472641,-0.2373204504264877,0.5937959009641275
593,12,37,44,37,3,0.0034893198267734,0.0019281269432253,-0.8880173606335794,0.8127342935405568
593,12,37,47,37,3,0.0016075660773509,0.001270505920826,-0.282194550112032,0.6111028315193708
872,38,14,47,14,3,0.0035005878132969,0.0006978835339748,-2.062999710461498,0.9804436721559956
1649,38,14,47,14,3,0.0035005878132969,0.0006978835339748,-2.062999710461498,0.9804436721559956
1701,14,38,46,38,3,0.0035794637189613,0.0004697293017138,-1.0569187220567426,0.8547256584202056
5359,38,14,44,14,3,0.001363426369342,0.0004160459529465,-1.1161838303858702,0.867828272798733
6651,38,14,44,14,3,0.001363426369342,0.0004160459529465,-1.1161838303858702,0.867828272798733
6775,37,12,42,12,3,0.005126933868187,0.0039859886459717,-1.204529204098281,0.8858074493002975
8606,32,40,10,40,3,0.0007962710476598,0.0003623626041792,-0.3511231607017887,0.6372520234709333
8676,11,38,42,38,3,0.002001945605673,0.0004428876273301,-0.6590303117511727,0.7450618479329935
8676,11,38,46,38,3,0.0035193677908361,0.0005010445884947,-0.963015088522192,0.8322300243430397
8811,37,12,42,12,3,0.005126933868187,0.0039859886459717,-1.204529204098281,0.8858074493002975
9942,11,38,42,38,3,0.002001945605673,0.0004428876273301,-0.6590303117511727,0.7450618479329935
9942,11,38,46,38,3,0.0035193677908361,0.0005010445884947,-0.963015088522192,0.8322300243430397
10825,11,38,42,38,3,0.002001945605673,0.0004428876273301,-0.6590303117511727,0.7450618479329935
12089,28,41,44,41,3,0.0038912113461112,0.0010960350373322,-1.0747085944038044,0.8587473926440627
12220,27,36,43,36,3,0.0027982166533328,0.0008365655182903,-0.8621522476839006,0.8056981283779343
12724,27,36,43,36,3,0.0027982166533328,0.0008365655182903,-0.8621522476839006,0.8056981283779343
13109,30,40,10,40,3,0.0008000270431676,0.0003444681545901,-0.3989295631218887,0.6550274473389257
13109,30,40,45,40,3,0.0018066338392659,0.0006128848984266,-0.6959865174497719,0.7567813633561106
13191,40,30,46,30,3,0.0023437411968855,4.026251157547208e-05,-0.5283131991297231,0.7013590140018916
14091,30,40,10,40,3,0.0008000270431676,0.0003444681545901,-0.3989295631218887,0.6550274473389257
14091,30,40,45,40,3,0.0018066338392659,0.0006128848984266,-0.6959865174497719,0.7567813633561106
14124,38,14,44,14,3,0.001363426369342,0.0004160459529465,-1.1161838303858702,0.867828272798733
14166,40,30,46,30,3,0.0023437411968855,4.026251157547208e-05,-0.5283131991297231,0.7013590140018916
14700,31,36,43,36,3,0.0028094846398563,0.000782882169523,-0.8930291124384782,0.8140792087212974
14717,30,40,10,40,3,0.0008000270431676,0.0003444681545901,-0.3989295631218887,0.6550274473389257
14717,30,40,45,40,3,0.0018066338392659,0.0006128848984266,-0.6959865174497719,0.7567813633561106
15318,40,30,46,30,3,0.0023437411968855,4.026251157547208e-05,-0.5283131991297231,0.7013590140018916
16950,30,40,10,40,3,0.0008000270431676,0.0003444681545901,-0.3989295631218887,0.6550274473389257
16950,30,40,43,40,3,0.0027756806802859,0.0008857752546603,-0.889383621144249,0.8131015277809779
16950,30,40,45,40,3,0.0018066338392659,0.0006128848984266,-0.6959865174497719,0.7567813633561106
17267,28,41,44,41,3,0.0038912113461112,0.0010960350373322,-1.0747085944038044,0.8587473926440627
17267,28,41,47,41,3,0.0018366818033285,0.0005949904488375,-0.6941817688563859,0.7562158878441695
21013,28,41,44,41,3,0.0038912113461112,0.0010960350373322,-1.0747085944038044,0.8587473926440627
21013,28,41,47,41,3,0.0018366818033285,0.0005949904488375,-0.6941817688563859,0.7562158878441695
24111,27,36,45,36,3,0.0018817537494225,0.0005413071000702,-0.7180778384666981,0.763645353074647
25760,30,40,43,40,3,0.0027756806802859,0.0008857752546603,-0.889383621144249,0.8131015277809779
