timestamp,X,Y,A,Z,chiamate,p0,p_cappuccio,z,significativo
0,23,37,45,23,3,0.0015362021627022,4.4736123972746765e-06,-0.0391103281467714,0.5155987866998996
0,32,37,44,32,3,0.0016301020503979,0.0005502543248647,-0.6529318663545527,0.7430998979360149
35,13,39,45,13,3,0.0025315409722769,0.0005681487744538,-0.9154848607966894,0.8200314267023374
593,12,37,42,12,3,0.0057504291224867,0.0021741756250754,-1.5863781636391208,0.9436732245802606
1408,14,38,47,14,3,0.0043494427980664,0.0005815696116457,-1.162183226769408,0.877419476790561
1701,14,38,46,14,3,0.0019831656281339,0.0003131528678092,-0.7619385914533325,0.7769516720836178
1701,14,38,47,14,3,0.0043494427980664,0.0005815696116457,-1.162183226769408,0.877419476790561
6475,29,36,47,29,3,0.0013108424322324,0.0003892042785628,-0.5902787855114761,0.7224981201433169
13191,40,30,46,40,3,0.0042668108968941,2.684167438364805e-05,-0.7214264658496725,0.764676415948757
14166,40,30,46,40,3,0.0042668108968941,2.684167438364805e-05,-0.7214264658496725,0.764676415948757
15318,40,30,46,40,3,0.0042668108968941,2.684167438364805e-05,-0.7214264658496725,0.764676415948757
17267,28,41,47,28,3,0.0014272782929751,0.0004339404025356,-0.6298398474978745,0.7356003140766291
17729,24,29,42,24,3,0.0016338580459057,3.131528678092273e-05,-0.3504328776081441,0.6369930720101283
17729,24,29,47,24,3,0.0020207255832122,8.947224794549351e-06,-0.3956516691941446,0.6538189928106293
21013,28,41,47,28,3,0.0014272782929751,0.0004339404025356,-0.6298398474978745,0.7356003140766291
24111,27,36,42,27,3,0.0022423293181741,0.0006620946347966,-0.7756284611968011,0.7810158047033173
26921,29,36,43,29,3,0.0022235493406349,0.0006397265728102,-0.7792085591492127,0.7820715655055439
32419,32,37,44,32,3,0.0016301020503979,0.0005502543248647,-0.6529318663545527,0.7430998979360149
34415,12,37,42,12,3,0.0057504291224867,0.0021741756250754,-1.5863781636391208,0.9436732245802606
41893,27,40,42,27,3,0.0020582855382904,0.000684462696783,-0.7293980786035714,0.7671209036098013
41893,27,40,45,27,3,0.0016751739964919,0.0005234126504811,-0.6776975007613583,0.7510182443021923
41893,27,40,46,27,3,0.0011643586074271,0.0004652556893165,-0.4932760189212643,0.6890912147107182
42182,32,40,43,32,3,0.0022911572597759,0.0005010445884947,-0.8546137344738322,0.8036174892084844
51521,32,37,44,32,3,0.0016301020503979,0.0005502543248647,-0.6529318663545527,0.7430998979360149
53197,30,39,47,30,3,0.0013671823648498,0.0004339404025356,-0.6212348411885623,0.7327774407761969
56220,32,40,42,32,3,0.0022273053361428,0.0005189390380838,-0.8271688492787745,0.7959293174651824
70636,28,37,47,28,3,0.0014535702615299,0.0004428876273301,-0.6215825726642593,0.7328918083546377
72481,22,30,46,22,3,0.0014197663019595,4.473612397274676e-05,-0.3777497660383651,0.6471917528854337
73795,22,30,46,22,3,0.0014197663019595,4.473612397274676e-05,-0.3777497660383651,0.6471917528854337
74255,39,13,45,39,3,0.0020657975293061,0.0003355209297956,-1.9929636108758184,0.976867284052218
74269,22,30,46,22,3,0.0014197663019595,4.473612397274676e-05,-0.3777497660383651,0.6471917528854337
74362,13,39,45,13,3,0.0025315409722769,0.0005681487744538,-0.9154848607966894,0.8200314267023374
74362,13,39,47,13,3,0.0037334595347823,0.0006531474100021,-1.1834159022846906,0.8816778210060222
75203,39,13,45,39,3,0.0020657975293061,0.0003355209297956,-1.9929636108758184,0.976867284052218
75267,11,38,46,11,3,0.0021033574843844,0.0003892042785628,-0.7069430300453018,0.7601990590447867
75913,31,36,47,31,3,0.0014347902839908,0.0003892042785628,-0.6442831637380169,0.7403040844068034
75944,11,38,46,11,3,0.0021033574843844,0.0003892042785628,-0.7069430300453018,0.7601990590447867
76089,39,13,45,39,3,0.0020657975293061,0.0003355209297956,-1.9929636108758184,0.976867284052218
76807,11,38,45,11,3,0.0028245086218876,0.0004115723405492,-0.8590584446224625,0.8048458638479973
76807,11,38,46,11,3,0.0021033574843844,0.0003892042785628,-0.7069430300453018,0.7601990590447867
79645,30,40,46,30,3,0.0013784503513733,0.0004205195653438,-0.6392464679602085,0.7386686964263078
81836,39,13,45,39,3,0.0020657975293061,0.0003355209297956,-1.9929636108758184,0.976867284052218
95298,31,38,46,31,3,0.0012432345130915,0.0003847306661656,-0.6022217750268386,0.7264867384942643
95298,31,38,47,31,3,0.0013784503513733,0.0004786765265083,-0.5994568525988971,0.7255658626872924
96151,29,37,42,29,3,0.0021108694754001,0.0005860432240429,-0.7862171947917735,0.784129872920895
96151,29,37,44,29,3,0.0016113220728588,0.0004697293017138,-0.6735412858926952,0.7496985038818622
97838,39,30,46,39,3,0.0047701142949433,6.263057356184544e-05,-0.8283643445887615,0.7962679036074771
102044,12,37,42,12,3,0.0057504291224867,0.0021741756250754,-1.5863781636391208,0.9436732245802606
102044,12,37,44,12,3,0.0010854827017626,0.0008186710687012,-0.2717724355166135,0.6071014994921796
102913,31,36,45,31,3,0.0015286901716865,0.000554727937262,-0.5814522231195537,0.7195321452792567
102913,31,36,47,31,3,0.0014347902839908,0.0003892042785628,-0.6442831637380169,0.7403040844068034
109836,31,36,45,31,3,0.0015286901716865,0.000554727937262,-0.5814522231195537,0.7195321452792567
111356,31,36,45,31,3,0.0015286901716865,0.000554727937262,-0.5814522231195537,0.7195321452792567
