timestamp,A,X,B,Y,chiamate,p0,p_cappuccio,z,significativo
0,9,39,45,39,3,0.0021033574843844485,0.00028961250557459653,-0.9468363252732596,0.8281389057612638
0,9,39,47,39,3,0.002576612918370949,0.0002771751587094298,-1.084814070738633,0.8609979938726771
0,10,40,6,40,3,0.0011718705984427645,8.350790038040513e-05,-0.6002241097873151,0.7258215561235273
0,17,40,6,40,3,0.0011042626793018357,9.416848340769092e-05,-0.5897385543762439,0.7223170284637901
0,46,39,45,39,3,0.0009765588320356368,0.0005667876642840264,-0.4805965068785838,0.6845983507115356
0,46,39,47,39,3,0.001149334625395788,0.0006893843690978128,-0.4972944314433788,0.69050928098025
1244,44,37,42,37,3,0.000995338809574784,0.0007142590628281461,-0.37160813548073135,0.644907684510698
1244,44,37,47,37,3,0.0009540228589886607,0.0008297487122904085,-0.1678160705610658,0.5666360103406137
2869,46,12,42,12,3,0.008492305843202213,0.000181229911463858,-2.3963233110880333,0.991719762193811
2915,44,37,47,37,3,0.0009540228589886607,0.0008297487122904085,-0.1678160705610658,0.5666360103406137
3455,47,41,43,41,3,0.0025390529632926557,0.00048150300006574026,-1.1786017218908167,0.8807215971627599
4105,42,37,47,37,3,0.0016864419830153884,0.00035535276757619214,-0.9198478591578312,0.821173865285675
4240,44,37,47,37,3,0.0009540228589886607,0.0008297487122904085,-0.1678160705610658,0.5666360103406137
4296,44,37,47,37,3,0.0009540228589886607,0.0008297487122904085,-0.1678160705610658,0.5666360103406137
7443,45,39,47,39,3,0.001885509744930345,0.00039977186352321614,-0.984300372113184,0.8375160766945892
9964,47,41,43,41,3,0.0025390529632926557,0.00048150300006574026,-1.1786017218908167,0.8807215971627599
9964,47,41,44,41,3,0.0034930758222813164,0.0006343046901235029,-1.3968048461085152,0.9187638676929804
10506,45,30,46,30,3,0.001472350239069114,0.0001172664133001434,-0.955518801241532,0.830342298941797
10637,43,41,44,41,3,0.002576612918370949,0.0009168101403465756,-1.1621907009471906,0.8774209944606383
10753,46,38,42,38,3,0.001006606796098272,0.0005134847491475975,-0.5409235229079083,0.7057198516704211
12963,47,37,45,37,3,0.0017315139291093407,0.00037312040595500166,-0.9338990960398282,0.8248220274058852
13410,43,41,44,41,3,0.002576612918370949,0.0009168101403465756,-1.1621907009471906,0.8774209944606383
14009,46,38,42,38,3,0.001006606796098272,0.0005134847491475975,-0.5409235229079083,0.7057198516704211
14801,45,36,43,36,3,0.002437641084581263,0.00044063743179447823,-1.1624855356876846,0.8774808516480415
