timestamp,A,X,B,Y,chiamate,p0,p_cappuccio,z,significativo
606,6,40,6,40,3,0.0,0.00036245982292771586,inf,0.0
860,6,40,6,40,3,0.0,0.00036245982292771586,inf,0.0
1244,44,37,44,37,3,1.8779977539146866e-05,0.0015973106902549836,15.18568776438428,0.0
1752,47,14,47,14,3,0.0025127609947378504,0.0006751702583947649,-1.4139578980681393,0.9213128677168788
1963,47,14,47,14,3,0.0025127609947378504,0.0006751702583947649,-1.4139578980681393,0.9213128677168788
2915,44,37,44,37,3,1.8779977539146866e-05,0.0015973106902549836,15.18568776438428,0.0
5837,43,41,43,41,3,5.258393710961122e-05,0.0010465139005118858,4.865482609322688,5.708892548694777e-07
6749,42,12,42,12,3,0.004045207161932234,0.0014978119153336495,-2.1391525382510728,0.9837883417050576
7314,43,41,43,41,3,5.258393710961122e-05,0.0010465139005118858,4.865482609322688,5.708892548694777e-07
8195,42,12,42,12,3,0.004045207161932234,0.0014978119153336495,-2.1391525382510728,0.9837883417050576
9026,42,12,42,12,3,0.004045207161932234,0.0014978119153336495,-2.1391525382510728,0.9837883417050576
10637,43,41,43,41,3,5.258393710961122e-05,0.0010465139005118858,4.865482609322688,5.708892548694777e-07
12357,43,36,43,36,3,7.511991015658745e-06,0.0010678350665664573,13.705162117752106,0.0
13330,44,14,44,14,3,0.0009389988769573431,0.000225649007410882,-0.5642779724303947,0.7137175149661042
16052,43,20,43,20,3,0.0011005066837940062,0.00013325728784107204,-0.6297587158457629,0.7355737698819138
16801,46,30,46,30,3,0.0005070593935569654,0.0002825054502230727,-0.253326872483183,0.5999921840183844
17405,46,30,46,30,3,0.0005070593935569654,0.0002825054502230727,-0.253326872483183,0.5999921840183844
18261,45,37,45,37,3,1.8779977539146866e-05,0.0007213661181796699,4.8746151913179485,5.451037815573656e-07
18384,42,38,42,38,3,7.511991015658745e-06,0.0005205918044991213,4.899528804342157,4.803338319314675e-07
19046,45,37,45,37,3,1.8779977539146866e-05,0.0007213661181796699,4.8746151913179485,5.451037815573656e-07
20490,45,37,45,37,3,1.8779977539146866e-05,0.0007213661181796699,4.8746151913179485,5.451037815573656e-07
23313,45,37,45,37,3,1.8779977539146866e-05,0.0007213661181796699,4.8746151913179485,5.451037815573656e-07
23517,44,41,44,41,3,3.755995507829373e-05,0.0017820941293946032,12.006407506937304,0.0
23832,10,40,10,40,3,1.5023982031317493e-05,0.0002984963247640013,1.3798962251411109,0.08380929952072835
24227,45,37,45,37,3,1.8779977539146866e-05,0.0007213661181796699,4.8746151913179485,5.451037815573656e-07
24364,47,41,47,41,3,1.8779977539146866e-05,0.0006396349816371457,4.129973277190904,1.814027013924413e-05
24474,45,37,45,37,3,1.8779977539146866e-05,0.0007213661181796699,4.8746151913179485,5.451037815573656e-07
25125,47,41,47,41,3,1.8779977539146866e-05,0.0006396349816371457,4.129973277190904,1.814027013924413e-05
28640,45,36,45,36,3,7.511991015658745e-06,0.0006485188008265505,6.713520980340805,9.499179220995302e-12
32343,45,15,45,15,3,0.0017803418707111227,0.00034113865687314436,-1.0616236751919108,0.8557967193234245
33796,45,20,45,20,3,0.0011155306658253237,0.00013325728784107204,-0.6399772810954817,0.7389063151949088
35708,43,41,43,41,3,5.258393710961122e-05,0.0010465139005118858,4.865482609322688,5.708892548694777e-07
36928,46,38,46,38,3,3.7559955078293715e-06,0.0009914342215375758,17.72745731207089,0.0
37398,43,36,43,36,3,7.511991015658745e-06,0.0010678350665664573,13.705162117752106,0.0
38109,47,30,47,30,3,0.0004619874474630128,0.00030204985243976334,-0.18975467928416032,0.5752493143743264
38342,8,36,8,36,3,3.7559955078293715e-06,0.0005703411919597883,6.979767151494527,1.4783729795908584e-12
38354,43,36,43,36,3,7.511991015658745e-06,0.0010678350665664573,13.705162117752106,0.0
38515,44,41,44,41,3,3.755995507829373e-05,0.0017820941293946032,12.006407506937304,0.0
