timestamp,event_type,n_1a,n_1b,n_2,n_5,n_6,n_1_comune,n_2_comune,u1,u2,u3
0,0,1,73,26,0,0,3,33,26,25,38
0,3,1,73,26,0,0,3,33,44,13,44
0,3,1,73,26,0,0,3,33,16,36,16
0,3,1,73,26,0,0,3,33,8,36,8
0,4,1,73,26,0,0,3,33,27,47,27
0,4,1,73,26,0,0,3,33,40,17,40
0,2,1,73,26,0,0,3,33,46,39,13
0,1,1,73,26,0,0,3,33,41,15,41
357,4,1,74,26,0,0,4,33,37,44,37
524,1,1,74,26,0,0,4,33,19,35,19
630,3,1,74,26,0,0,4,33,47,18,47
680,4,1,74,26,0,0,4,33,40,6,40
872,1,1,75,26,0,0,4,34,38,14,38
983,1,1,75,26,0,0,4,34,26,33,26
1087,4,1,75,26,0,0,4,34,40,6,40
1244,3,1,76,26,0,0,4,34,44,37,44
1244,2,1,76,26,0,0,4,34,44,37,12
1431,4,1,76,26,0,0,4,34,39,45,39
1649,1,1,76,26,0,0,4,34,38,14,38
1752,3,1,76,26,0,0,4,34,47,14,47
1963,3,1,76,26,0,0,4,34,47,14,47
2084,4,1,77,26,0,0,4,34,37,44,37
2100,1,1,77,26,0,0,4,34,19,35,19
2146,3,1,78,26,0,0,4,34,47,14,47
2318,1,1,78,26,0,0,4,34,26,33,26
2760,1,1,78,26,0,0,4,34,26,33,26
2774,4,1,78,26,0,0,4,34,37,42,37
2915,2,1,79,26,0,0,4,34,44,37,12
2915,3,1,79,26,0,0,4,34,44,37,44
3546,4,1,80,26,0,0,4,34,37,44,37
3799,4,1,81,26,0,0,3,35,39,45,39
4066,1,1,81,26,0,0,3,35,18,35,18
4105,3,1,81,26,0,0,3,35,42,37,42
4181,3,1,81,26,0,0,3,35,46,31,46
4240,2,1,81,26,0,0,3,35,44,37,12
4240,3,1,81,26,0,0,3,35,44,37,44
4296,3,1,81,26,0,0,3,35,44,37,44
4296,2,1,81,26,0,0,3,35,44,37,12
4438,1,1,81,26,0,0,3,35,20,34,20
4627,4,1,81,26,0,0,3,35,37,47,37
4676,1,1,82,26,0,0,3,35,18,35,18
4940,1,1,83,27,0,0,4,35,3,34,3
5549,1,1,83,27,0,0,4,35,19,33,19
5724,1,1,83,27,0,0,4,35,18,35,18
