,source,target,weight
0,351,5,1
1,351,6,1
2,351,7,1
3,351,8,1
4,351,9,1
5,351,10,1
6,351,11,1
7,351,12,1
8,351,13,1
9,351,14,1
10,351,15,1
11,351,16,1
12,351,17,1
13,351,18,1
14,351,19,1
15,351,20,1
16,351,21,1
17,351,22,1
18,351,23,1
19,357,6,1
20,357,7,1
21,357,8,1
22,357,9,1
23,357,10,1
24,357,11,1
25,357,12,1
26,357,13,1
27,357,14,1
28,357,15,1
29,357,16,1
30,357,17,1
31,357,18,1
32,357,19,1
33,357,20,1
34,357,21,1
35,357,22,1
36,357,23,1
37,362,7,1
38,362,8,1
39,362,9,1
40,362,10,1
41,362,11,1
42,362,12,1
43,362,13,1
44,362,14,1
45,362,15,1
46,362,16,1
47,362,17,1
48,362,18,1
49,362,19,1
50,362,20,1
51,362,21,1
52,362,22,1
53,362,23,1
54,369,8,1
55,369,9,1
56,369,10,1
57,369,11,1
58,369,12,1
59,369,13,1
60,369,14,1
61,369,15,1
62,369,16,1
63,369,17,1
64,369,18,1
65,369,19,1
66,369,20,1
67,369,21,1
68,369,22,1
69,369,23,1
70,374,9,1
71,374,10,1
72,374,11,1
73,374,12,1
74,374,13,1
75,374,14,1
76,374,15,1
77,374,16,1
78,374,17,1
79,374,18,1
80,374,19,1
81,374,20,1
82,374,21,1
83,374,22,1
84,374,23,1
85,380,10,1
86,380,11,1
87,380,12,1
88,380,13,1
89,380,14,1
90,380,15,1
91,380,16,1
92,380,17,1
93,380,18,1
94,380,19,1
95,380,20,1
96,380,21,1
97,380,22,1
98,380,23,1
99,387,11,1
100,387,12,1
101,387,13,1
102,387,14,1
103,387,15,1
104,387,16,1
105,387,17,1
106,387,18,1
107,387,19,1
108,387,20,1
109,387,21,1
110,387,22,1
111,387,23,1
112,391,12,1
113,391,13,1
114,391,14,1
115,391,15,1
116,391,16,1
117,391,17,1
118,391,18,1
119,391,19,1
120,391,20,1
121,391,21,1
122,391,22,1
123,391,23,1
124,398,13,1
125,398,14,1
126,398,15,1
127,398,16,1
128,398,17,1
129,398,18,1
130,398,19,1
131,398,20,1
132,398,21,1
133,398,22,1
134,398,23,1
135,404,14,1
136,404,15,1
137,404,16,1
138,404,17,1
139,404,18,1
140,404,19,1
141,404,20,1
142,404,21,1
143,404,22,1
144,404,23,1
145,410,15,1
146,410,16,1
147,410,17,1
148,410,18,1
149,410,19,1
150,410,20,1
151,410,21,1
152,410,22,1
153,410,23,1
154,416,16,1
155,416,17,1
156,416,18,1
157,416,19,1
158,416,20,1
159,416,21,1
160,416,22,1
161,416,23,1
162,422,17,1
163,422,18,1
164,422,19,1
165,422,20,1
166,422,21,1
167,422,22,1
168,422,23,1
169,429,18,1
170,429,19,1
171,429,20,1
172,429,21,1
173,429,22,1
174,429,23,1
175,433,19,1
176,433,20,1
177,433,21,1
178,433,22,1
179,433,23,1
180,439,20,1
181,439,21,1
182,439,22,1
183,439,23,1
184,446,21,1
185,446,22,1
186,446,23,1
187,454,22,1
188,454,23,1
189,1153,1153,1
190,1153,1154,1
191,1154,1154,1
192,1155,1155,1
193,1155,1156,1
194,1155,1157,1
195,1156,1156,1
196,1156,1157,1
197,1157,1157,1
198,1158,1158,1
