timestamp,X,Y,Z,timestamp2,esito_positivo,esito_negativo
1465300424,1780,1766,1780,1465300455,4,0
1465300424,1780,1766,1780,1465300458,2,0
1465300431,1780,1766,1780,1465300455,4,0
1465300431,1780,1766,1780,1465300458,2,0
1465300434,1780,1766,1780,1465300455,4,0
1465300434,1780,1766,1780,1465300458,2,0
1465323970,1781,1766,1781,1465323988,2,0
1465323970,1781,1766,1781,1465323992,2,0
1465323971,1781,1766,1781,1465323988,2,0
1465323971,1781,1766,1781,1465323992,2,0
1465323988,1766,1781,1766,1465324031,2,0
1465323988,1766,1781,1766,1465324033,2,0
1465323992,1766,1781,1766,1465324031,2,0
1465323992,1766,1781,1766,1465324033,2,0
1465654139,1787,1766,1787,1465654561,4,0
1465654561,1766,1787,1766,1465655646,2,0
1465654561,1766,1787,1766,1465655647,2,0
1465834048,1770,1766,1789,1465834678,2,0
1465834048,1770,1766,1789,1465834679,2,0
1465897519,1791,1766,1791,1465897837,2,0
1465897519,1791,1766,1791,1465897839,2,0
1465897519,1791,1766,1791,1465897880,2,0
1465897519,1791,1766,1791,1465897881,2,0
1465897519,1791,1766,1791,1465897961,2,0
1465897519,1791,1766,1791,1465897962,2,0
1465897519,1791,1766,1791,1465897972,2,0
1465897519,1791,1766,1791,1465897973,2,0
1465897519,1791,1766,1791,1465898278,2,0
1465897519,1791,1766,1791,1465898280,2,0
1465897521,1791,1766,1791,1465897837,2,0
1465897521,1791,1766,1791,1465897839,2,0
1465897521,1791,1766,1791,1465897880,2,0
1465897521,1791,1766,1791,1465897881,2,0
1465897521,1791,1766,1791,1465897961,2,0
1465897521,1791,1766,1791,1465897962,2,0
1465897521,1791,1766,1791,1465897972,2,0
1465897521,1791,1766,1791,1465897973,2,0
1465897521,1791,1766,1791,1465898278,2,0
1465897521,1791,1766,1791,1465898280,2,0
1465897837,1766,1791,1766,1465897932,2,0
1465897837,1766,1791,1766,1465897933,2,0
1465897837,1766,1791,1766,1465898000,4,0
1465897839,1766,1791,1766,1465897932,2,0
1465897839,1766,1791,1766,1465897933,2,0
1465897839,1766,1791,1766,1465898000,4,0
1465897880,1766,1791,1766,1465897932,2,0
1465897880,1766,1791,1766,1465897933,2,0
1465897880,1766,1791,1766,1465898000,4,0
1465897881,1766,1791,1766,1465897932,2,0
1465897881,1766,1791,1766,1465897933,2,0
1465897881,1766,1791,1766,1465898000,4,0
1465897932,1791,1766,1791,1465897961,2,0
1465897932,1791,1766,1791,1465897962,2,0
1465897932,1791,1766,1791,1465897972,2,0
1465897932,1791,1766,1791,1465897973,2,0
1465897932,1791,1766,1791,1465898278,2,0
1465897932,1791,1766,1791,1465898280,2,0
1465897933,1791,1766,1791,1465897961,2,0
1465897933,1791,1766,1791,1465897962,2,0
1465897933,1791,1766,1791,1465897972,2,0
1465897933,1791,1766,1791,1465897973,2,0
1465897933,1791,1766,1791,1465898278,2,0
1465897933,1791,1766,1791,1465898280,2,0
1465897961,1766,1791,1766,1465898000,4,0
1465897962,1766,1791,1766,1465898000,4,0
1465897972,1766,1791,1766,1465898000,4,0
