timestamp,A,X,B,Y,esito_positivo,esito_negativo
1464775348,1959,18,1959,18,3,0
1465667514,2015,1935,2015,1935,3,0
1465679921,1896,1935,1896,1935,3,0
1465680045,1896,1935,1896,1935,3,0
1466469510,2020,1935,2020,1935,3,0
1466469512,2020,1935,2020,1935,3,0
1466796443,2015,1935,2015,1935,3,0
1466797384,2015,1935,2015,1935,3,0
1467493621,2033,1935,2025,1935,3,0
1467732671,1973,18,1973,18,3,0
1468669078,1776,1766,1776,1766,3,0
1468669295,1776,1766,1776,1766,3,0
1468705448,1776,1766,1776,1766,3,0
1468705449,1776,1766,1776,1766,3,0
1469230173,1776,1766,1776,1766,3,0
1469230176,1776,1766,1776,1766,3,0
1469454510,44921,18,44921,18,3,0
1470219889,1960,18,1960,18,3,0
1470220486,1960,18,1960,18,3,0
1470221010,1960,18,1960,18,3,0
1470223904,1960,18,1960,18,3,0
1470426393,1960,18,1960,18,3,0
1470665475,1933,1931,1933,1931,3,0
1470694819,1934,1931,1934,1931,3,0
1470694823,1934,1931,1934,1931,3,0
1470694824,1934,1931,1934,1931,3,0
1470694828,1934,1931,1934,1931,3,0
1470741400,1933,1931,1933,1931,3,0
1470741405,1933,1931,1933,1931,3,0
1470832105,44800,1931,44800,1931,3,0
1470832965,44800,1931,44800,1931,3,0
1470839923,44808,1931,44808,1931,3,0
1471019553,44800,1931,44800,1931,3,0
1471019618,44800,1931,44800,1931,3,0
1471118044,1936,1931,1936,1931,3,0
1471118048,1936,1931,1936,1931,3,0
1471118800,1936,1931,1936,1931,3,0
1471118801,1936,1931,1936,1931,3,0
1471276040,44831,1931,44831,1931,3,0
1471276520,44831,1931,44831,1931,3,0
1471373660,1959,18,1959,18,3,0
1471440153,1933,1931,1933,1931,3,0
1471440157,1933,1931,1933,1931,3,0
1471440564,1933,1931,1933,1931,3,0
1471440568,1933,1931,1933,1931,3,0
1471440574,1933,1931,1933,1931,3,0
1471440577,1933,1931,1933,1931,3,0
1471448510,44831,1931,44831,1931,3,0
1471448521,44831,1931,44831,1931,3,0
1471448528,44831,1931,44831,1931,3,0
1471448529,44831,1931,44831,1931,3,0
1471448530,44831,1931,44831,1931,3,0
1471448531,44831,1931,44831,1931,3,0
1471448534,44831,1931,44831,1931,3,0
1471448541,44831,1931,44831,1931,3,0
1471448542,44831,1931,44831,1931,3,0
1471448543,44831,1931,44831,1931,3,0
1471448544,44831,1931,44831,1931,3,0
1471448547,44831,1931,44831,1931,3,0
1471448554,44831,1931,44831,1931,3,0
1471448555,44831,1931,44831,1931,3,0
1471448556,44831,1931,44831,1931,3,0
1471448557,44831,1931,44831,1931,3,0
1471448810,44831,1931,44831,1931,3,0
1471448811,44831,1931,44831,1931,3,0
1471448812,44831,1931,44831,1931,3,0
1471448813,44831,1931,44831,1931,3,0
1471448817,44831,1931,44831,1931,3,0
1471448825,44831,1931,44831,1931,3,0
1471448826,44831,1931,44831,1931,3,0
1471448827,44831,1931,44831,1931,3,0
1471448828,44831,1931,44831,1931,3,0
1471448831,44831,1931,44831,1931,3,0
1471448838,44831,1931,44831,1931,3,0
1471448839,44831,1931,44831,1931,3,0
1471448840,44831,1931,44831,1931,3,0
1471448841,44831,1931,44831,1931,3,0
1471448844,44831,1931,44831,1931,3,0
1471448853,44831,1931,44831,1931,3,0
1471448854,44831,1931,44831,1931,3,0
1471448855,44831,1931,44831,1931,3,0
1471448856,44831,1931,44831,1931,3,0
1471448859,44831,1931,44831,1931,3,0
1471448867,44831,1931,44831,1931,3,0
1471448868,44831,1931,44831,1931,3,0
1471448869,44831,1931,44831,1931,3,0
1471448872,44831,1931,44831,1931,3,0
1471448880,44831,1931,44831,1931,3,0
1471448881,44831,1931,44831,1931,3,0
1471448882,44831,1931,44831,1931,3,0
1471448883,44831,1931,44831,1931,3,0
1471448886,44831,1931,44831,1931,3,0
1471448894,44831,1931,44831,1931,3,0
1471448895,44831,1931,44831,1931,3,0
1471448896,44831,1931,44831,1931,3,0
1471448899,44831,1931,44831,1931,3,0
1471448907,44831,1931,44831,1931,3,0
1471448908,44831,1931,44831,1931,3,0
1471448909,44831,1931,44831,1931,3,0
1471448910,44831,1931,44831,1931,3,0
1471448913,44831,1931,44831,1931,3,0
1471448921,44831,1931,44831,1931,3,0
1471448922,44831,1931,44831,1931,3,0
1471448923,44831,1931,44831,1931,3,0
1471448924,44831,1931,44831,1931,3,0
1471448928,44831,1931,44831,1931,3,0
1471448936,44831,1931,44831,1931,3,0
1471448937,44831,1931,44831,1931,3,0
1471448940,44831,1931,44831,1931,3,0
1471448944,44831,1931,44831,1931,3,0
1471448952,44831,1931,44831,1931,3,0
1471448953,44831,1931,44831,1931,3,0
1471448956,44831,1931,44831,1931,3,0
1471448960,44831,1931,44831,1931,3,0
1471449201,44831,1931,44831,1931,3,0
1471449202,44831,1931,44831,1931,3,0
1471449205,44831,1931,44831,1931,3,0
1471449208,44831,1931,44831,1931,3,0
1471449278,44831,1931,44831,1931,3,0
1471466694,1959,18,1959,18,3,0
1471470142,45362,18,1959,18,3,0
1471470846,1959,18,1959,18,3,0
1471472368,1959,18,1959,18,3,0
1471472524,1959,18,1959,18,3,0
1471472645,1959,18,1959,18,3,0
1471538879,1933,1931,1933,1931,3,0
1471538884,1933,1931,1933,1931,3,0
1471538885,1933,1931,1933,1931,3,0
1471538889,1933,1931,1933,1931,3,0
1471538891,1933,1931,1933,1931,3,0
1471538894,1933,1931,1933,1931,3,0
1471611610,44826,1931,44826,1931,3,0
1471611613,44826,1931,44826,1931,3,0
1471626757,1960,18,1960,18,3,0
1471647824,1959,18,1959,18,3,0
1471647828,1959,18,1959,18,3,0
1471647854,1959,18,1959,18,3,0
1471648099,1959,18,1959,18,3,0
1471648160,1959,18,1959,18,3,0
1471648866,1959,18,1959,18,3,0
1471649011,1959,18,1959,18,3,0
1471649301,1959,18,1959,18,3,0
1471649444,1959,18,1959,18,3,0
1471649481,1959,18,1959,18,3,0
1471649817,1959,18,1959,18,3,0
1471675846,1959,18,1959,18,3,0
1471675847,1959,18,1959,18,3,0
1471675848,1959,18,1959,18,3,0
1471675857,1959,18,1959,18,3,0
1471676017,1959,18,1959,18,3,0
1471676022,1959,18,1959,18,3,0
1471676123,1959,18,1959,18,3,0
1471860619,1960,18,1960,18,3,0
1471861488,1960,18,1960,18,3,0
1471861489,1960,18,1960,18,3,0
1472070046,1960,18,1960,18,3,0
1472070316,1960,18,1960,18,3,0
1472070489,1960,18,1960,18,3,0
1472231054,1960,18,1960,18,3,0
1472231203,1960,18,1960,18,3,0
1472490144,44800,1931,44800,1931,3,0
1472490941,44800,1931,44800,1931,3,0
1472491355,44800,1931,44800,1931,3,0
1472497577,44800,1931,44800,1931,3,0
1472892551,1938,1931,44826,1931,3,0
1472907915,1933,1931,1933,1931,3,0
1472907915,1933,1931,44826,1931,3,0
1472907922,1933,1931,1933,1931,3,0
1472907922,1933,1931,44826,1931,3,0
1472908139,1933,1931,44826,1931,3,0
1472908145,1933,1931,44826,1931,3,0
1472908198,44826,1931,44826,1931,3,0
1472908402,44826,1931,44826,1931,3,0
1472942228,1933,1931,1933,1931,3,0
1472942234,1933,1931,1933,1931,3,0
1472999810,1933,1931,1933,1931,3,0
1472999815,1933,1931,1933,1931,3,0
1473171362,1939,1931,44826,1931,3,0
1473254129,1938,1931,1938,1931,3,0
1473254133,1938,1931,1938,1931,3,0
1473254168,1938,1931,1938,1931,3,0
1473254172,1938,1931,1938,1931,3,0
1473254182,1938,1931,1938,1931,3,0
1473254186,1938,1931,1938,1931,3,0
1473254188,1938,1931,1938,1931,3,0
1473254193,1938,1931,1938,1931,3,0
1473254216,1938,1931,1938,1931,3,0
1473254220,1938,1931,1938,1931,3,0
1473254241,1938,1931,1938,1931,3,0
1473254246,1938,1931,1938,1931,3,0
1473254275,1938,1931,1938,1931,3,0
1473254279,1938,1931,1938,1931,3,0
1473457715,2020,1935,27,1935,3,0
1473457716,2020,1935,27,1935,3,0
1473458336,27,1935,27,1935,3,0
1473468730,1940,1931,1933,1931,5,1
1473469725,1933,1931,1933,1931,5,1
1473469730,1933,1931,1933,1931,5,1
1473469813,1933,1931,1933,1931,5,1
1473469819,1933,1931,1933,1931,5,1
1473469923,1933,1931,1933,1931,5,1
1473469928,1933,1931,1933,1931,5,1
1473470032,1933,1931,1933,1931,2,1
1473470046,1933,1931,1933,1931,3,0
1473470161,1933,1931,1933,1931,3,0
1473470165,1933,1931,1933,1931,3,0
1473473184,1933,1931,1933,1931,3,0
1473473186,1933,1931,1933,1931,3,0
1473473189,1933,1931,1933,1931,3,0
1473473196,1933,1931,1933,1931,3,0
1473473274,1933,1931,1933,1931,3,0
1473473279,1933,1931,1933,1931,3,0
1473473907,1933,1931,1933,1931,3,0
1473473916,1933,1931,1933,1931,3,0
1473473920,1933,1931,1933,1931,3,0
1473473925,1933,1931,1933,1931,3,0
1474388503,1959,18,1959,18,3,0
1475064490,35456,1931,35456,1931,3,0
1475064820,44815,1931,35456,1931,3,0
1476025716,44831,1950,44831,1950,3,0
1476025735,44831,1950,44831,1950,3,0
1476025736,44831,1950,44831,1950,3,0
1476025737,44831,1950,44831,1950,3,0
1476025738,44831,1950,44831,1950,3,0
1476025739,44831,1950,44831,1950,3,0
1476025751,44831,1950,44831,1950,3,0
1476025752,44831,1950,44831,1950,3,0
1476025753,44831,1950,44831,1950,3,0
1476025754,44831,1950,44831,1950,3,0
1476025755,44831,1950,44831,1950,3,0
1476025765,44831,1950,44831,1950,3,0
1476025766,44831,1950,44831,1950,3,0
1476025767,44831,1950,44831,1950,3,0
1476025768,44831,1950,44831,1950,3,0
1476025769,44831,1950,44831,1950,3,0
1476025779,44831,1950,44831,1950,3,0
1476025780,44831,1950,44831,1950,3,0
1476025781,44831,1950,44831,1950,3,0
1476025782,44831,1950,44831,1950,3,0
1476025783,44831,1950,44831,1950,3,0
1476025796,44831,1950,44831,1950,3,0
1476025797,44831,1950,44831,1950,3,0
1476025798,44831,1950,44831,1950,3,0
1476025799,44831,1950,44831,1950,3,0
1476025800,44831,1950,44831,1950,3,0
1476025811,44831,1950,44831,1950,3,0
1476025812,44831,1950,44831,1950,3,0
1476025813,44831,1950,44831,1950,3,0
1476025814,44831,1950,44831,1950,3,0
1476025815,44831,1950,44831,1950,3,0
1476025824,44831,1950,44831,1950,3,0
1476025825,44831,1950,44831,1950,3,0
1476025826,44831,1950,44831,1950,3,0
1476025827,44831,1950,44831,1950,3,0
1476025828,44831,1950,44831,1950,3,0
1476025839,44831,1950,44831,1950,3,0
1476025840,44831,1950,44831,1950,3,0
1476025841,44831,1950,44831,1950,3,0
1476025842,44831,1950,44831,1950,3,0
1476025843,44831,1950,44831,1950,3,0
1476025854,44831,1950,44831,1950,3,0
1476025855,44831,1950,44831,1950,3,0
1476025856,44831,1950,44831,1950,3,0
