timestamp,event_type,n_1a,n_1b,n_2,n_3a,n_3b,n_3c,n_4a,n_4b,n_4c,n_4d,n_1_comune,n_2_comune
1465300424,1,0,3,0,0,0,0,0,0,0,0,0,2
1465300431,1,0,3,0,0,0,0,0,0,0,0,0,2
1465300434,1,0,3,0,0,0,0,0,0,0,0,0,2
1467205062,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205067,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205075,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205099,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205106,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205114,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205123,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205129,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205138,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205159,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205297,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205307,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205314,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205453,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205459,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205465,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205470,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205477,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205486,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205495,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205500,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205509,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205517,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205524,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205531,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205538,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205547,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205553,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205559,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205566,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205572,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205579,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205585,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205591,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205598,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205602,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205609,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205615,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205621,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205630,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205636,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205642,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205650,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205657,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205664,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205673,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205682,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205687,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205694,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205700,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205706,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205713,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205719,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205732,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205738,1,0,122,0,0,0,0,0,0,0,0,0,2
1467205742,1,0,122,0,0,0,0,0,0,0,0,0,2
