timestamp,X,Y,A,Z,chiamate,p0,p_cappuccio,z,significativo
1473714104,1931,1931,1942,1931,3,3.199957333902215e-05,0.00016017940092904052,0.06409136651607215,0.474448738117965
1483353576,1954,1954,45130,1954,3,6.13325155664591e-05,0.00016017940092904052,0.012622079728170959,0.4949646524328478
1483353576,1954,1954,46450,1954,3,0.00018933080892254768,0.00016017940092904052,-0.0021188002088473,0.5008452783545791
1484328580,43380,18,44886,43380,3,0.00013599818669084412,0.00016017940092904052,0.01989000962059133,0.492065557368962
1484752144,8042,8171,8096,8042,3,1.3333155557925896e-05,0.0009610764055742432,1.4910221396461023,0.06797784117266492
1484752146,8042,8171,8096,8042,3,1.3333155557925896e-05,0.0009610764055742432,1.4910221396461023,0.06797784117266492
1484752437,8042,8171,8096,8042,3,1.3333155557925896e-05,0.0009610764055742432,1.4910221396461023,0.06797784117266492
1484752438,8042,8171,8096,8042,3,1.3333155557925896e-05,0.0009610764055742432,1.4910221396461023,0.06797784117266492
1484753260,8042,8171,8096,8042,3,1.3333155557925896e-05,0.0009610764055742432,1.4910221396461023,0.06797784117266492
1484753261,8042,8171,8096,8042,3,1.3333155557925896e-05,0.0009610764055742432,1.4910221396461023,0.06797784117266492
1484818229,34458,2071,27,34458,3,2.933294222743697e-05,0.00032035880185808104,0.6860471099333131,0.2463417007667045
1484818231,34458,2071,27,34458,3,2.933294222743697e-05,0.00032035880185808104,0.6860471099333131,0.2463417007667045
1485944861,18,43380,44886,18,3,7.999893334755536e-05,0.00016017940092904052,0.13447300738298815,0.44651427709710395
1486644306,2049,2049,37683,2049,6,0.00014399808002559967,0.00032035880185808104,0.02078594557406443,0.4917082045626985
1486644306,2049,2049,45234,2049,6,1.3333155557925896e-05,0.00032035880185808104,0.11891210697152695,0.4526724949226868
1493469341,35646,35654,35656,35646,3,0.0,0.0012814352074323242,inf,0.0
1493469346,35646,35654,35656,35646,3,0.0,0.0012814352074323242,inf,0.0
1493469507,35646,35654,35656,35646,3,0.0,0.0012814352074323242,inf,0.0
1493469512,35646,35654,35656,35646,3,0.0,0.0012814352074323242,inf,0.0
1493469558,35646,35654,35656,35646,3,0.0,0.0012814352074323242,inf,0.0
1493469561,35646,35654,35656,35646,3,0.0,0.0012814352074323242,inf,0.0
1493469594,35646,35654,35656,35646,3,0.0,0.0012814352074323242,inf,0.0
1493469597,35646,35654,35656,35646,3,0.0,0.0012814352074323242,inf,0.0
1495279469,43752,9044,43790,43752,3,5.3332622231703584e-05,0.00016017940092904052,0.18507021829089385,0.42658698021530894
1495288811,9044,43752,43766,9044,3,0.0001999973333688884,0.00032035880185808104,0.07613139749543311,0.4696572805150218
1495288811,9044,43752,43790,9044,3,2.666631111585179e-06,0.0016017940092904052,8.758851443528192,0.0
1495288812,9044,43752,43766,9044,3,0.0001999973333688884,0.00032035880185808104,0.07613139749543311,0.4696572805150218
1495288812,9044,43752,43790,9044,3,2.666631111585179e-06,0.0016017940092904052,8.758851443528192,0.0
1495564837,8520,8520,1896,8520,3,0.00014933134224876996,0.00016017940092904052,0.0017755747743685095,0.4992916485226895
1495564837,8520,8520,8583,8520,6,2.3999680004266612e-05,0.00032035880185808104,0.12099036331858133,0.4518493340386257
1495995786,34757,34791,35691,34757,6,1.0666524446340716e-05,0.00032035880185808104,0.2998618565107468,0.3821412651462205
1495999224,34751,34712,35691,34751,3,2.666631111585179e-06,0.0006407176037161621,0.9570841154913132,0.16926240021639982
1496034053,34751,34712,35691,34751,3,2.666631111585179e-06,0.0006407176037161621,0.9570841154913132,0.16926240021639982
1496034101,34751,34712,35691,34751,3,2.666631111585179e-06,0.0006407176037161621,0.9570841154913132,0.16926240021639982
1496035965,34751,34712,35691,34751,3,2.666631111585179e-06,0.0006407176037161621,0.9570841154913132,0.16926240021639982
1496175957,34751,34749,35108,34751,6,0.0,0.0022425116130065674,inf,0.0
1496175982,34751,34749,35108,34751,6,0.0,0.0022425116130065674,inf,0.0
1496182576,34751,34749,35108,34751,6,0.0,0.0022425116130065674,inf,0.0
1496226559,34751,34749,35108,34751,6,0.0,0.0022425116130065674,inf,0.0
1496226954,34751,34749,35108,34751,6,0.0,0.0022425116130065674,inf,0.0
1496232709,34751,34749,35108,34751,6,0.0,0.0022425116130065674,inf,0.0
1496233288,34751,34749,35108,34751,6,0.0,0.0022425116130065674,inf,0.0
1496235926,34749,34751,35108,34749,3,1.5999786669511075e-05,0.00032035880185808104,0.15218173956350758,0.43952179796253377
1496235974,34749,34751,35108,34749,3,1.5999786669511075e-05,0.00032035880185808104,0.15218173956350758,0.43952179796253377
1498315702,9044,43752,43790,9044,6,2.666631111585179e-06,0.0016017940092904052,8.758851443528192,0.0
1498316492,9044,43752,43790,9044,6,2.666631111585179e-06,0.0016017940092904052,8.758851443528192,0.0
1498318959,9044,43752,43790,9044,6,2.666631111585179e-06,0.0016017940092904052,8.758851443528192,0.0
1498322104,9044,43752,43790,9044,6,2.666631111585179e-06,0.0016017940092904052,8.758851443528192,0.0
1498562357,43752,9044,35149,43752,3,0.0,0.00032035880185808104,inf,0.0
1498562374,43752,9044,35149,43752,3,0.0,0.00032035880185808104,inf,0.0
1499858430,68,69,71,68,3,0.004117278436287516,0.0011212558065032837,-1.737472761608606,0.9588481210915271
1499858498,68,69,71,68,3,0.004117278436287516,0.0011212558065032837,-1.737472761608606,0.9588481210915271
1500044315,69,68,71,69,3,0.00010933187557499234,0.0019221528111484864,15.704281705388693,0.0
1500376977,8520,8520,8523,8520,3,0.0017759763203157289,0.00016017940092904052,-0.07675102377849274,0.5305891934448881
1500378495,68,69,71,68,3,0.004117278436287516,0.0011212558065032837,-1.737472761608606,0.9588481210915271
1500662055,8270,1765,1776,8270,3,0.00041332782229570273,0.0012814352074323242,0.7875087011342599,0.21549206843967414
1500662065,8270,1765,1776,8270,3,0.00041332782229570273,0.0012814352074323242,0.7875087011342599,0.21549206843967414
1500662211,8270,1765,1776,8270,3,0.00041332782229570273,0.0012814352074323242,0.7875087011342599,0.21549206843967414
1502462671,8270,1765,1776,8270,3,0.00041332782229570273,0.0012814352074323242,0.7875087011342599,0.21549206843967414
1502797404,69,68,71,69,3,0.00010933187557499234,0.0019221528111484864,15.704281705388693,0.0
1502797405,69,68,71,69,3,0.00010933187557499234,0.0019221528111484864,15.704281705388693,0.0
1502797433,69,68,71,69,3,0.00010933187557499234,0.0019221528111484864,15.704281705388693,0.0
1502875580,69,68,71,69,3,0.00010933187557499234,0.0019221528111484864,15.704281705388693,0.0
1502875640,69,68,71,69,3,0.00010933187557499234,0.0019221528111484864,15.704281705388693,0.0
